"",,,,Kharif,,,Rabi,,,Summer,,Total (Kharif + RabI + summer)
Sr.No,,Crops,,,,,,,,,,
"",,,Area,Production,Productivity,Area,Production,Productivity,Area,Production,Productivity,Area Production Productivity
1,Rice,,1417.4,3143.7,2217.9,,,,47.54,132.04,2777.5,1465.0 3275.8 2236.1
2,Wheat,,,,,834.4,1249.2,1497.1,,,,834.4 1249.2 1497.1
3,Jowar,,530.3,429.7,810.2,1909.2,767.6,402.1,,,,2439.5 1197.3 490.8
4,Bajra,,609.6,332.2,545.0,,,,,,,609.6 332.2 545.0
5,Ragi,,80.3,93.5,1164.1,,,,,,,80.3 93.5 1164.1
6,Maize,,708.0,1365.0,1928.0,201.4,379.7,1885.4,17.13,20.55,1199.67,926.5 1765.2 1905.3
7,Other  Cereals,,46.6,21.6,463.3,13.0,4.4,338.5,12.40,7.40,596.86,72.1 33.4 463.7
"",Coarse Cereals,,1974.8,2241.9,1135.3,2123.6,1151.7,542.3,29.53,27.95,946.51,4127.9 3421.6 828.9
"",Total Cereals,,3392.2,5385.7,1587.6,2958.0,2401.0,811.7,77.07,159.99,2076.01,6427.3 7946.6 1236.4
8,Tur,,1261.3,834.5,661.6,,,,,,,1261.3 834.5 661.6
9,Mung,,481.1,203.8,423.6,,,,,,,481.1 203.8 423.6
10,Udid,,366.6,154.5,421.3,,,,,,,366.6 154.5 421.3
11,Gram,,,,,1694.2,1397.0,824.5,,,,1694.2 1397.0 824.5
12,Other Pulses,,87.3,41.2,472.0,109.7,51.1,465.6,2.03,0.65,318,199.0 92.9 466.9
"",Total Pulses,,2196.2,1233.9,561.8,1803.9,1448.0,802.7,2.03,0.65,318.09,4002.2 2682.6 670.3
"",Total,,,,,,,,,,,
"",,,5588.5,6619.6,1184.5,4762.0,3849.0,808.3,79.10,160.63,2030.83,10429.6 10629.2 1019.1
"",Foodgrains,,,,,,,,,,,
13,Groundnut,,217.3,203.5,936.4,,,,26.82,35.08,1307.65,244.2 238.6 977.2
14,Sesamum,,36.9,6.3,169.7,0.9,0.1,109.1,1.39,0.18,131.66,39.2 6.5 167.0
15,Nigerseed,,10.9,1.3,122.4,,,,,,,10.9 1.3 122.4
16,Sunflower,,21.4,4.1,192.8,16.0,2.6,162.0,0.29,0.43,1522.60,37.7 7.2 189.8
17,Soyabean,,4075.2,4610.9,1131.5,,,,,,,4075.2 4610.9 1131.5
18,Linseed,,,,,7.0,2.7,380.0,,,,7.0 2.7 380.0
19,Safflower,,,,,25.1,11.9,475.2,,,,25.1 11.9 475.2
20,Other Oilseed,,12.5,3.6,291.0,5.7,2.1,357.9,0.08,0.02,197.45,18.4 5.7 311.5
"",Total Oilseeds,,4374.3,4829.8,1104.1,54.8,19.3,353.2,28.57,35.71,1249.75,4457.7 4884.9 1095.8
"",Sugarcane,,,,,,,,,,,
21,,,1162.8,89770.5,77.2,,,,,,,
"",(Harvested),,,,,,,,,,,
22,Cotton (Lint),,4218.7,6593.1,265.7,,,,,,,
23,,Tobacco,,,,0.46,0.80,1744.8,,,,
"",,,15344.4,,,4817.20,,,107.67,,,
