"",,,,Kharif,,,Rabi,,,Summer,,Total (Kharif + RabI+Summer)
Sr.No,,Crops,,,,,,,,,,
"",,,Area,Production,Productivity,Area,Production,Productivity,Area,Production,Productivity,Area Production Productivity
1,Rice,,1478.09,2701.81,1827.90,,,"#DIV/0!",74.90,195.62,2611.97,1553.0 2897.4 1865.7
2,Wheat,,,,,1056.97,1793.44,1696.78,,,,1057.0 1793.4 1696.8
3,Jowar,,389.88,273.08,700.42,1981.59,1591.62,803.20,,,,2371.5 1864.7 786.3
4,Bajra,,672.78,512.32,761.49,,,"#DIV/0!",,,,672.8 512.3 761.5
5,Ragi,,82.22,87.27,1061.38,,,"#DIV/0!",,,,82.2 87.3 1061.4
6,Maize,,771.71,1051.69,1362.80,297.95,795.31,2669.27,56.99,112.99,1982.52,1126.7 1960.0 1739.7
7,Other  Cereals,,40.98,21.97,536.14,10.65,3.75,351.60,61.75,77.37,1252.97,113.4 103.1 909.2
"",Coarse Cereals,,1957.58,1946.33,994.25,2290.20,2390.67,1043.87,118.75,190.37,1603.13,4366.5 4527.4 1036.8
"",Total Cereals,,3435.67,4648.14,1352.90,3347.16,4184.11,1250.05,193.64,385.99,1993.32,6976.5 9218.2 1321.3
8,Tur,,1319.10,1196.80,907.28,,,"#DIV/0!",,,,1319.1 1196.8 907.3
9,Mung,,386.79,150.72,389.66,,,"#DIV/0!",,,,386.8 150.7 389.7
10,Udid,,340.53,151.19,444.00,,,"#DIV/0!",,,,340.5 151.2 444.0
11,Gram,,,,,2043.21,2240.09,1096.36,,,,2043.2 2240.1 1096.4
12,Other Pulses,,88.53,38.65,436.60,125.13,66.1,527.87,12.68,5.53,435.73,226.3 110.2 487.0
"",Total Pulses,,2134.95,1537.36,720.09,2168.33,2306.14,1063.55,12.68,5.53,435.73,4316.0 3849.0 891.8
"",Total,,,,,,,,,,,
"",,,5570.62,6185.50,1110.38,5515.50,6490.25,1176.73,206.33,391.52,1897.56,11292.4 13067.3 1157.2
"",Foodgrains,,,,,,,,,,,
13,Groundnut,,221.10,191.43,865.82,,,"#DIV/0!",69.66,117.54,1687.27,290.8 309.0 1062.6
14,Sesamum,,20.06,3.61,180.19,1.88,0.59,312.50,4.01,0.98,245.27,26.0 5.2 199.9
15,Nigerseed,,8.13,1.63,200.19,,,"#DIV/0!",,,,8.1 1.6 200.2
16,Sunflower,,19.23,6.78,352.48,3.41,1.84,540.60,5.16,3.51,680.30,27.8 12.1 436.4
17,Soyabean,,4124.01,4825.63,1170.13,,,"#DIV/0!",,,,4124.0 4825.6 1170.1
18,Linseed,,,,,5.49,1.94,352.93,,,,5.5 1.9 352.9
19,Safflower,,,,,21.60,14.92,690.51,,,,21.6 14.9 690.5
20,Other Oilseed,,10.63,3.25,305.46,10.52,3.20,304.69,1.28,0.69,537.30,22.4 7.1 318.3
"",Total Oilseeds,,4403.17,5032.33,1142.89,42.91,22.49,524.22,80.11,122.72,1531.85,4526.2 5177.5 1143.9
"",Sugarcane,,,,,,,,,,,
21,,,822.4,69312.9,84.28,,,,,,,
"",(Harvested),,,,,,,,,,,
22,Cotton (Lint),,4491.3,6639.2,251.30,,,,,,,
23,,Tobacco,0.46,0.83,1814.89,,,,,,,
"",,,15287.98,,,5558.40,,,286.44,,,
