"",,,Kharif,,,Rabi,,,Summer,,Total (Kharif + RabI )
Sr.No,Crops,,,,,,,,,,
"",,,,,,,,,,Productivit,Productio Productivit
"",,Area,Production,Productivity,Area,Production,Productivity,Area,Production,,Area
"",,,,,,,,,,y,n y
1,Rice,1472.6,3027.2,2055.73,,,"#DIV/0!",87.97,264.00,3001.14,1560.5 3291.2 2109.0
2,Wheat,,,,1126.2,2071.4,1839.3,,,"#DIV/0!",1126.2 2071.4 1839.3
3,Jowar,378.7,381.4,1007.12,1941.7,1804.9,929.5,,,"#DIV/0!",2320.4 2186.3 942.2
4,Bajra,687.5,905.6,1317.28,,,"#DIV/0!",,,"#DIV/0!",687.5 905.6 1317.3
5,Ragi,81.6,93.9,1150.64,,,"#DIV/0!",,,"#DIV/0!",81.6 93.9 1150.6
6,Maize,809.9,2625.0,3241.21,331.6,867.7,2616.5,61.64,95.37,1547.36,1203.1 3588.0 2982.2
7,Other  Cereals,37.0,16.7,452.35,14.01,5.3,380.2,48.94,42.79,874.33,99.9 64.8 648.9
"",Coarse,,,,,,,,,,
"",,1994.7,4022.7,2016.68,2287.3,2677.9,1170.8,110.58,138.16,1249.48,4392.6 6838.7 1556.9
"",Cereals,,,,,,,,,,
"",Total Cereals,3467.29,7049.9,2033.27,3413.5,4749.3,1391.3,198.54,402.16,2025.57,7079.3 12201.4 1723.5
8,Tur,1339.63,1450.15,1082.50,,,"#DIV/0!",,,"#DIV/0!",1339.6 1450.2 1082.5
9,Mung,401.02,207.15,516.55,,,"#DIV/0!",,,"#DIV/0!",401.0 207.1 516.6
10,Udid,356.45,226.58,635.66,,,"#DIV/0!",,,"#DIV/0!",356.4 226.6 635.7
11,Gram,,,,2231.3,2397.2,1074.4,,,"#DIV/0!",2231.3 2397.2 1074.4
12,Other Pulses,123.27,89.91,729.38,124.1,67.3,542.0,18.81,6.08,323.06,266.2 163.3 613.3
"",Total Pulses,2220.4,1973.8,888.95,2355.4,2464.5,1046.3,18.81,6.08,323.06,4594.6 4444.3 967.3
"",Total,,,,,,,,,,
"",,5687.66,9023.7,1586.54,5768.9,7213.8,1250.5,217.35,408.24,1878.25,11673.9 16645.7 1425.9
"",Foodgrains,,,,,,,,,,
13,Groundnut,226.0,270.7,1197.35,,,"#DIV/0!",82.99,136.67,1646.78,309.0 407.3 1318.0
14,Sesamum,19.2,4.6,238.61,1.7,0.5,307.6,7.83,1.42,180.87,28.7 6.5 226.8
15,Nigerseed,8.2,1.8,225.40,,,"#DIV/0!",,,"#DIV/0!",8.2 1.8 225.4
16,Sunflower,19.2,8.7,454.33,3.7,1.9,523.7,3.15,1.53,484.10,26.0 12.2 467.8
17,Soyabean,4289.7,6263.8,1460.18,,,"#DIV/0!",,,"#DIV/0!",4289.7 6263.8 1460.2
18,Linseed,,,,6.6,2.1,321.0,,,"#DIV/0!",6.6 2.1 321.0
19,Safflower,,,,21.4,12.2,569.4,,,"#DIV/0!",21.4 12.2 569.4
20,Other Oilseed,10.3,4.3,419.51,14.7,4.5,303.3,10.24,4.47,436.59,35.2 13.2 375.9
"",Total Oilseeds,4572.6,6553.9,1433.29,48.1,21.2,441.4,104.22,144.08,1382.51,4724.9 6719.2 1422.1
"",Sugarcane,,,,,,,,,,
21,,1142.8,111642.1,97.69,,,,,,,1142.8 111642.1 97.7
"",(Harvested),,,,,,,,,,
22,Cotton (Lint),4544.6,10110.4,378.20,,,,,,,4544.6 10110.4 378.2
23,Tobacco,,,,0.6,1.2,2014.8,,,,0.59 1.19 2014.8
"",,15947.74,,,5817.59,,,321.57,,,22086.9
