"",,,,Kharif,,,Rabi,,,Summer,,Total (Kharif+Rabi+Summer)
Sr.No,,Crops,,,,,,,,,,
"",,,Area,Production,Productivity,Area,Production,Productivity,Area,Production,Productivity,Area Production Productivity
1,Rice,,1529.02,3471.02,2270,,,,167.70,478.00,2850.26,1696.72 3949.02 2327
2,Wheat,,,,,1040.31,1942.43,1867,,,,1040.31 1942.43 1867
3,Jowar,,111.93,89.15,796,1617.99,1777.25,1098,29.47,21.50,729.56,1759.39 1887.90 1073
4,Bajra,,366.68,201.66,550,,,,32.43,28.75,886.60,399.11 230.41 577
5,Ragi,,70.04,90.15,1287,,,,,,,70.04 90.15 1287
6,Maize,,913.62,1439.18,1575,340.81,874.49,2566,50.49,84.37,1671.01,1304.92 2398.03 1838
7,Other  Cereals,,45.21,22.34,494,10.41,4.20,403,1.86,1.51,809.49,57.48 28.04 488
"",Coarse Cereals,,1507.48,1842.48,1222,1969.21,2655.94,1349,114.25,136.12,1191.49,3590.94 4634.54 1291
"",Total Cereals,,3036.50,5313.50,1750,3009.52,4598.37,1528,281.95,614.12,2178.13,6327.98 10525.99 1663
8,Tur,,1111.33,982.83,884,,,,,,,1111.33 982.83 884
9,Mung,,181.40,70.78,390,,,,9.46,1.75,184.91,190.86 72.53 380
10,Udid,,256.21,108.11,422,,,,0.58,0.23,401.22,256.80 108.35 422
11,Gram,,,,,2668.76,2860.05,1072,,,,2668.76 2860.05 1072
12,Other Pulses,,62.10,47.20,760,108.73,52.08,479,0.79,0.36,450.77,171.62 99.64 581
"",Total Pulses,,1611.04,1208.92,750,2777.50,2912.13,1048,10.83,2.34,216.00,4399.37 4123.39 937
"",Total Foodgrains,,4647.54,6522.42,1403,5787.02,7510.51,1298,292.78,616.46,2105.53,10727.35 14649.38 1366
13,Groundnut,,143.65,145.24,1011,,,,70.31,109.05,1550.94,213.96 254.29 1188
14,Sesamum,,4.67,1.10,236,1.50,0.48,320,19.60,3.45,176.01,25.77 5.03 195
15,Nigerseed,,4.81,0.90,187,,,,,,,4.81 0.90 187
16,Sunflower,,2.76,0.63,228,2.36,1.30,551,0.83,0.56,678.94,5.95 2.49 419
17,Soybean,,5085.59,6607.12,1299,,,,4.83,2.78,575.39,5090.42 6609.90 1298
18,Linseed,,,,,7.16,3.40,475,,,,7.16 3.40 475
19,Safflower,,,,,44.47,32.52,731,,,,44.47 32.52 731
20,Other Oilseed,,3.57,1.07,301,17.65,6.66,378,0.51,0.19,378.02,21.73 7.93 365
"",Total Oilseeds,,5245.05,6756.06,1288,73.15,44.37,607,96.09,116.04,1207.65,5414.28 6916.47 1277
"",Sugarcane,,,,,,,,,,,
21,,,1437.02,112626.68,78,,,,,,,1437.02 112626.68 78
"",(Harvested),,,,,,,,,,,
22,Cotton (Lint),,4234.47,8844.18,355,,,,,,,4234.47 8844.18 355
23,,Tobacco,,,,0.69,1.53,2231,,,,0.69 1.53 2231
"",‍Total‍Area,,15564.08,,,5860.85,,,388.87,,,21813.80
