"",,,,Kharif,,,Rabi,,Total (Kharif+Rabi)
Sr.No,,Crops,,,,,,,
"",,,Area,Production,Productivity,Area,Production,Productivity,Area Production Productivity
1,Rice,,1520.5,3546.9,2332.7,,,,1520.5 3546.9 2332.7
2,Wheat,,,,,1251.3,2575.1,2058.1,1251.3 2575.1 2058.1
3,Jowar,,105.5,126.1,1195.8,1505.4,1729.2,1148.6,1610.9 1855.3 1151.7
4,Bajra,,399.1,518.8,1300.2,,,,399.1 518.8 1300.2
5,Ragi,,68.1,92.9,1363.8,,,,68.1 92.9 1363.8
6,Maize,,1121.6,3869.1,3449.6,471.8,1294.5,2743.9,1593.4 5163.6 3240.7
7,Other  Cereals,,33.4,18.4,550.9,12.5,5.4,433.0,45.9 23.8 518.7
"",Coarse Cereals,,1727.6,4625.3,2677.3,1989.7,3029.1,1522.4,3717.3 7654.4 2059.1
"",Total Cereals,,3248.1,8172.2,2516.0,3241.0,5604.3,1729.2,6489.0 13776.5 2123.0
8,Tur,,1223.0,1260.6,1030.7,,,,1223.0 1260.6 1030.7
9,Mung,,236.2,161.9,685.4,,,,236.2 161.9 685.4
10,Udid,,389.2,326.7,839.5,,,,389.2 326.7 839.5
11,Gram,,,,,2824.4,3536.5,1252.2,2824.4 3536.5 1252.2
12,Other Pulses,,71.3,74.5,1045.3,154.0,79.4,515.4,225.3 153.9 683.1
"",Total Pulses,,1919.6,1823.6,950.0,2978.4,3615.9,1214.1,4898.0 5439.6 1110.6
"",Total,,,,,,,,
"",,,5167.7,9995.8,1934.3,6219.3,9220.2,1482.5,11387.0 19216.0 1687.5
"",Foodgrains,,,,,,,,
13,Groundnut,,148.1,220.0,1485.5,,,,148.1 220.0 1485.5
14,Sesamum,,4.5,1.2,269.3,1.7,0.6,325.4,6.2 1.8 284.8
15,Nigerseed,,3.9,0.8,209.7,,,,3.9 0.8 209.7
16,Sunflower,,9.8,4.4,451.4,1.8,1.0,569.4,11.6 5.4 469.9
17,Soyabean,,5159.3,8438.3,1635.6,,,,5159.3 8438.3 1635.6
18,Linseed,,,,,5.3,2.5,463.6,5.3 2.5 463.6
19,Safflower,,,,,33.3,21.6,649.0,33.3 21.6 649.0
20,Other Oilseed,,2.5,0.8,315.1,19.2,7.5,388.8,21.6 8.2 380.4
"",Total Oilseeds,,5328.0,8665.5,1626.4,61.4,33.2,540.2,5389.4 8698.7 1614.0
"",Sugarcane,,,,,,,,
21,,,1167.0,105219.2,90.2,,,,1167.0 105219.2 90.2
"",(Harvested),,,,,,,,
22,Cotton (Lint),,4086.0,9887.5,411.4,,,,4086.0 9887.5 411.4
23,Tobacco,,,,,0.8,2.1,2595.6,0.8 2.1 2595.6
"",‍Total‍Area,,15748.72,,,6281.53,,,22030.25
